Time,Temperature,Humidity,Pressure,Altitude, PM1,PM2,PM3
1630651950.4596934,24.616796875,36.84372099452942,1004.0469863762338,77.05460675873736,0,1,2
1630651951.6283863,24.621875,36.73372591794169,1004.0007627361052,76.9711648914425,0,1,2
1630651952.7966864,24.616796875,36.80868291828478,1004.028947420094,76.84600330095263,0,1,2
1630651953.964839,24.6115234375,36.7336500263984,1004.0107102690241,77.17807728573331,0,1,2
1630651955.1334026,24.616796875,36.71868837410653,1004.063763825951,76.80901125600151,0,1,2
1630651956.3023667,24.616796875,36.728687884790006,1004.0090523466735,76.8507308076535,0,1,2
1630651957.470627,24.6064453125,36.643691112545945,1003.9968820431928,76.87854393174365,0,1,2
1630651958.6388645,24.6064453125,36.72368813310096,1004.0306053433927,77.08714464876262,0,1,2
1630651959.8070002,24.6115234375,36.803644089574604,1004.0339211902267,76.78119831123054,0,1,2
1630651960.9751143,24.6115234375,36.74364926594115,1004.0101452052784,76.89245052069029,0,1,2
1630651962.1437793,24.6115234375,36.77366606976041,1004.0051715189038,76.87854393174365,0,1,2
1630651963.312526,24.6064453125,36.87867703846532,1004.0524410663053,76.85991007260944,0,1,2
1630651964.480828,24.616796875,36.69368946955388,1004.0159664544448,76.9711648914425,0,1,2
1630651965.6491168,24.621875,36.71368860780674,1004.025150491079,76.93862855441432,0,1,2
1630651966.8173814,24.63203125,36.703726647011095,1004.0088528983662,77.06851379938524,0,1,2
1630651967.9854994,24.621875,36.743782238754626,1003.9989050414472,76.96644280389656,0,1,2
1630651969.153924,24.6373046875,36.793781997853955,1004.0373206745902,76.9525356701858,0,1,2
1630651970.3230865,24.6373046875,36.79376256452046,1004.0193646927182,76.74799090307116,0,1,2
1630651971.4912384,24.6373046875,36.618762200197644,1004.0442347567737,77.1750519615014,0,1,2
1630651972.6599658,24.6373046875,36.75876320764777,1004.0143906820402,77.14211364109059,0,1,2
1630651973.8289113,24.6423828125,36.73880174474928,1004.0243387041073,76.90097121349714,0,1,2
1630651974.9971042,24.6474609375,36.80380215124085,1004.0202579011211,77.12113606614952,0,1,2
1630651976.165383,24.6576171875,36.74380181985613,1004.0338038651435,76.9125211462791,0,1,2
1630651977.3341331,24.6576171875,36.84888181523827,1004.0125307222195,76.91895138380092,0,1,2
1630651978.502495,24.6525390625,36.80388021147637,1004.0423757689647,76.99596662999413,0,1,2
1630651979.6706462,24.6576171875,36.608901629763075,1004.0141887797005,76.86332047085139,0,1,2
1630651980.8389366,24.6576171875,36.713838262025284,1004.0343669833,76.97458258371526,0,1,2
1630651982.007515,24.6576171875,36.65383498856545,1004.0291113005845,77.06550502629113,0,1,2
1630651983.1764445,24.6525390625,36.6738361966261,1004.0053356251176,76.93285915687918,0,1,2
1630651984.3455453,24.6525390625,36.763821121206234,1004.0606144212434,76.8772281721872,0,1,2
1630651985.513828,24.6474609375,36.61879775027139,1004.0456918868497,77.06550502629113,0,1,2
1630651986.6821203,24.6373046875,36.50879039163928,1004.0061006658233,77.05631093978707,0,1,2
1630651987.8504655,24.6373046875,36.51377393650486,1004.0262785747624,77.15366379208727,0,1,2
1630651989.0186615,24.6373046875,36.56376023726819,1004.0318641202143,76.98677372616979,0,1,2
1630651990.1874785,24.6373046875,36.63876269480898,1004.0094166720731,77.12820616419535,0,1,2
1630651991.3569622,24.626953125,36.65376298905408,1004.0077586689087,77.16757141415549,0,1,2
1630651992.529987,24.616796875,36.643691112545945,1003.9908152060302,77.27948149486676,0,1,2
1630651993.69883,24.616796875,36.73870693554845,1004.0237746890766,77.44401067575807,0,1,2
1630651994.867689,24.626953125,36.66374518384696,1003.9972470655706,77.04988598272898,0,1,2
1630651996.0365417,24.626953125,36.63374495825597,1003.9989050414472,77.2493069597377,0,1,2
1630651997.2058988,24.616796875,36.643691112545945,1004.0353805307199,77.2493069597377,0,1,2
1630651998.3752306,24.616796875,36.72370752535818,1003.9924731275119,77.39309966566272,0,1,2
1630651999.54549,24.6064453125,36.74366818549428,1004.0140261139621,77.27306224145285,0,1,2
1630652000.7142823,24.5912109375,36.58862342667105,1004.0107102690241,77.21743449677074,0,1,2
1630652001.883292,24.5962890625,36.56862446720029,1004.0009606908171,77.4545278132114,0,1,2
1630652003.0520308,24.5962890625,36.64358364792813,1003.9959870876598,77.17126629032815,0,1,2
1630652004.2208517,24.5912109375,36.60865706666432,1004.0267241649943,77.12245048032736,0,1,2
1630652005.3912277,24.5859375,36.69361604640777,1004.012565767615,76.98811718922734,0,1,2
1630652006.5628898,24.5859375,36.693578573312756,1003.9929540087834,77.24079847155096,0,1,2
1630652007.7392564,24.5859375,36.79356623277241,1003.9876977506443,77.15262833785415,0,1,2
1630652008.9089258,24.57578125,36.64356581948689,1004.0189142683463,77.18517269070789,0,1,2
1630652010.0790472,24.580859375,36.703577470737294,1004.0053684594802,76.96030468989731,0,1,2
1630652011.2498827,24.57578125,36.69356017657765,1003.9729740592146,77.3520508939593,0,1,2
1630652012.4214947,24.565625,36.53359224094539,1003.9912100005756,77.07905506911473,0,1,2
1630652013.5908878,24.5859375,36.51359342348517,1004.0053684594802,77.29238422847367,0,1,2
1630652014.7593448,24.57578125,36.723556440230546,1003.9970792541611,77.14858607253514,0,1,2
1630652015.927546,24.57578125,36.69354177081998,1004.0243662820801,77.29238422847367,0,1,2
1630652017.095697,24.570703125,36.568555929321235,1003.9909268291126,77.24149867662713,0,1,2
1630652018.265666,24.5552734375,36.69346734808158,1004.0088792108471,77.22119530930088,0,1,2
1630652019.4339921,24.5552734375,36.628478263770354,1004.0016810176254,77.1655728095927,0,1,2
1630652020.6028085,24.5451171875,36.71344506256368,1003.9933922175514,77.23984725347903,0,1,2
1630652021.7711692,24.534765625,36.64343939111213,1003.980607339481,77.50003387922803,0,1,2
1630652022.9393482,24.534765625,36.58341557701631,1004.020392606573,77.15002619095165,0,1,2
1630652024.1078475,24.5296875,36.82334131211097,1004.0482894901033,77.27992571805636,0,1,2
1630652025.2771401,24.524609375,36.818342671793566,1003.9860565568431,77.26364374687995,0,1,2
1630652026.445376,24.51953125,36.86330974301177,1004.007606378563,77.08287831817043,0,1,2
1630652027.6135678,24.514453125,36.84325416220137,1004.0391022958524,77.13172977990929,0,1,2
1630652028.7829278,24.514453125,36.83327750686553,1003.9937763345141,77.28468193118088,0,1,2
1630652029.9516904,24.51953125,36.753301381738005,1004.0308138938018,77.28468193118088,0,1,2
