Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1635471156.909496,0,0,5.0,30.0
1635471167.339988,0,0,5.0,24.6
1635471177.2933605,0,0,5.0,26.2
1635471187.2429624,0,0,5.0,26.6
1635471201.9206223,0,0,5.0,27.2
1635471212.168569,0,0,5.0,26.0
1635471222.1886423,0,0,5.0,30.4
1635471234.9901884,0,0,5.0,34.2
1635471245.1455872,0,0,4.0,30.8
1635471255.467596,0,0,5.0,33.4
1635471265.6935556,0,0,4.0,31.2
1635471276.0632617,0,0,4.0,33.4
1635471286.4198372,0,0,4.0,33.8
1635471296.7130506,0,0,4.0,30.0
1635471307.1840508,0,0,4.0,31.6
1635471317.5215378,0,0,4.0,30.6
1635471328.0855453,0,0,4.0,30.2
1635471339.0372229,0,0,5.0,32.6
1635471349.7944162,0,0,4.0,36.2
1635471360.3813744,0,0,5.0,30.4
1635471373.05015,0,0,5.0,33.0
1635471383.7810833,0,0,5.0,36.6
1635471394.716795,0,0,5.0,34.0
1635471406.370739,0,0,5.0,34.6
1635471417.2699852,0,0,5.0,35.2
1635471427.9596214,0,0,5.0,31.8
1635471438.8497276,0,0,5.5,35.2
1635471449.9538589,0,0,5.0,36.6
1635471462.8941264,0,0,5.0,34.2
1635471474.0237694,0,0,4.0,37.4
1635471485.6636992,0,0,5.0,30.0
1635471497.284864,0,0,4.0,32.4
1635471508.3810844,0,0,5.0,31.2
1635471519.576587,0,0,5.0,34.4
1635471530.9295866,0,0,5.0,32.2
1635471542.2235441,0,0,5.0,41.0
1635471553.559687,0,0,5.0,35.6
1635471565.2830346,0,0,5.0,40.2
1635471576.7412474,0,0,5.0,31.2
1635471588.2082732,0,0,5.0,28.0
1635471600.624405,0,0,4.5,28.8
1635471612.1227064,0,0,4.0,24.2
1635471624.1551702,0,0,4.0,33.4
1635471635.8336055,0,0,4.0,27.6
1635471647.4553246,0,0,5.0,25.6
1635471659.08472,0,0,5.0,25.2
1635471670.999057,0,0,5.0,23.8
1635471682.761149,0,0,5.0,29.4
1635471694.5654008,0,0,5.0,30.6
1635471706.42918,0,0,4.0,26.0
1635471720.9819129,0,0,3.0,29.0
1635471735.5668542,0,0,3.0,28.2
1635471748.0891516,0,0,3.0,26.0
1635471760.315636,0,0,3.0,22.4
1635471772.3994958,0,0,3.0,26.8
1635471784.5063717,0,0,3.0,21.6
1635471796.7498796,0,0,4.0,15.6
